persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1953,Robertson,R. I.,The Rev.,,,,,"missionary in Africa, husband of Henrietta Robertson",
1955,Heathcote,Elizabeth Mary,,(Deane),,,(1829/30-1892),widow of the Rev. William Beadon Heathcote ,"She had married in 1852, and died his widow.  She seems to have become a Roman Catholic."
1956,Herbert,Elizabeth Mary,,"(A Court), Lady Herbert",,,(1822-1911),"widow of Sidney, 1st Lord Herbert of Lea","She converted to Rome in January 1866, but rumours seem to have been circulating."
1957,,,,,,,,,
1958,Hudson,Charles,The Rev.,,,,(1828-1865),"Vicar of Skillington, Lincolnshire",He was a well-known mountaineer who had died in July 1865 while climbing the Matterhorn. His wife was Emily Antoinette Mylne.
1959,Hudson,Emily Antoinette,,(Mylne),,,,widow of the Rev. Charles Hudson,
1960,Eyre,Edward John,,,,,(1815-1901),explorer and Governor of Jamaica,
1961,Longfellow,Henry Wadsworth,,,,,(1807-1882),American poet,
1962,Jacson,Mary Beatrice,,,,,(b.Lancs.1850/1),"Associate of the G. F. S., living in Otterbourne.",
1964,Williams,Edmund Sydney,,,,,(1817-1891),"partner in Williams and Norgate, publishers specializing in foreign books",
1965,Gaskell,Elizabeth Cleghorn,,(Stevenson),,,(1810-1865),novelist,
1967,Bone,Martha,,,,,"(b.Wickham, Hants. 1832/3)",cook at Hursley Vicarage during the 1861 census,
1968,Blage,Ann,,,,,"(b.Marden, Kent 1835/6)",housemaid at Hursley Vicarage during the 1861 census.,"The name looks like Blage in the census return, but it may be a mistake because this person is hard to identify in any other record."
1969,Burrows,Henry William,The Rev. ,,,,(1815/6-1892),"Vicar of Christ Church, Albany Street, later Canon of Rochester",
